,Age Group,Overall Total Est.,Est. Males Total,Est. Females Total,C.A. Total,C.A. Males Total,C.A. Females Total,D.C. Total.,D.C. Males Total,D.C. Females Total,G.A. Total Est.,G.A. Males Total,G.A. Females Total,N.Y. Total Est.,N.Y. Males Total,N.Y. Females Total,P.A. Total Est.,P.A. Males Total,P.A. Females Total
0,Total population,"333,287,562","165,228,214","168,059,348","39,029,342","19,536,425","19,492,917","671,803","319,763","352,040","10,912,876","5,323,951","5,588,925","19,677,151","9,628,899","10,048,252","12,972,008","6,399,830","6,572,178"
1,        Under 5 years,"18,358,199","9,394,890","8,963,309","2,118,386","1,081,904","1,036,482","39,035","20,038","18,997","621,126","319,188","301,938","1,055,455","543,601","511,854","668,734","340,925","327,809"
2,        5 to 9 years,"19,770,314","10,110,917","9,659,397","2,285,436","1,165,348","1,120,088","37,268","19,567","17,701","683,215","349,200","334,015","1,070,033","545,792","524,241","719,322","367,379","351,943"
3,        10 to 14 years,"21,220,214","10,892,415","10,327,799","2,550,172","1,313,295","1,236,877","31,558","15,307","16,251","741,043","377,740","363,303","1,161,685","598,202","563,483","761,677","390,736","370,941"
4,        15 to 19 years,"21,785,658","11,167,522","10,618,136","2,568,788","1,314,876","1,253,912","36,668","16,901","19,767","762,949","390,500","372,449","1,198,745","609,954","588,791","841,351","424,350","417,001"
5,        20 to 24 years,"22,446,040","11,488,577","10,957,463","2,639,787","1,358,231","1,281,556","48,043","21,713","26,330","771,563","392,098","379,465","1,298,992","649,835","649,157","829,180","420,566","408,614"
6,        25 to 29 years,"22,007,628","11,245,260","10,762,368","2,755,159","1,420,961","1,334,198","70,104","30,920","39,184","730,956","365,255","365,701","1,349,368","673,807","675,561","803,919","412,239","391,680"
7,        30 to 34 years,"23,225,636","11,785,090","11,440,546","2,989,300","1,544,190","1,445,110","75,149","36,549","38,600","753,041","367,472","385,569","1,412,882","714,588","698,294","873,402","444,251","429,151"
8,        35 to 39 years,"22,335,859","11,322,522","11,013,337","2,763,206","1,426,147","1,337,059","62,643","32,098","30,545","731,011","359,658","371,353","1,302,139","650,743","651,396","830,928","418,082","412,846"
9,        40 to 44 years,"21,711,785","10,939,843","10,771,942","2,632,182","1,349,326","1,282,856","48,578","22,988","25,590","738,039","357,313","380,726","1,234,655","619,695","614,960","792,644","405,996","386,648"
10,        45 to 49 years,"19,640,925","9,853,198","9,787,727","2,401,748","1,215,975","1,185,773","36,427","18,116","18,311","676,763","329,837","346,926","1,144,828","565,740","579,088","723,451","364,695","358,756"
11,        50 to 54 years,"20,835,521","10,447,394","10,388,127","2,476,065","1,252,946","1,223,119","35,134","18,106","17,028","722,486","354,324","368,162","1,260,979","624,244","636,735","818,012","409,632","408,380"
12,        55 to 59 years,"20,553,615","10,163,454","10,390,161","2,356,663","1,183,932","1,172,731","30,859","15,036","15,823","681,208","331,862","349,346","1,305,675","632,967","672,708","847,170","423,991","423,179"
13,        60 to 64 years,"21,573,853","10,492,488","11,081,365","2,333,548","1,148,594","1,184,954","32,983","16,224","16,759","655,201","309,867","345,334","1,317,119","642,081","675,038","923,164","447,532","475,632"
14,        65 to 69 years,"18,559,497","8,798,968","9,760,529","1,980,804","939,965","1,040,839","29,685","13,314","16,371","541,143","250,475","290,668","1,110,632","531,023","579,609","813,798","389,007","424,791"
15,        70 to 74 years,"15,338,575","7,149,850","8,188,725","1,587,735","739,712","848,023","20,415","8,697","11,718","457,415","205,053","252,362","921,647","417,677","503,970","654,025","307,649","346,376"
16,        75 to 79 years,"11,005,461","4,901,587","6,103,874","1,158,255","511,897","646,358","16,221","6,494","9,727","317,660","138,301","179,359","660,817","283,305","377,512","476,780","208,981","267,799"
17,        80 to 84 years,"6,758,839","2,861,152","3,897,687","720,433","309,633","410,800","11,625","5,131","6,494","184,649","74,343","110,306","436,311","173,838","262,473","294,304","123,652","170,652"
18,        85 years and over,"6,159,943","2,213,087","3,946,856","711,675","259,493","452,182","9,408","2,564","6,844","143,408","51,465","91,943","435,189","151,807","283,382","300,147","100,167","199,980"
